,Title,Author,Published,Link
0,Stock Liquidity and SMEs’ Likelihood of Bankruptcy: Evidence from the US Market,"Abd Karim, M. N.",Dec 2017,https://pureportal.coventry.ac.uk/en/publications/stock-liquidity-and-smes-likelihood-of-bankruptcy-evidence-from-t
1,"Personalisation of power, neoliberalism and the production of corruption","Mohamad, M. N.",1 Sep 2015,https://pureportal.coventry.ac.uk/en/publications/personalisation-of-power-neoliberalism-and-the-production-of-corr
2,Stock Price and Volume Effects Associated with Changes in the Composition of the FTSE Bursa Malaysian KLCI,"Abd Karim, M. N.",11 Feb 2014,https://pureportal.coventry.ac.uk/en/publications/stock-price-and-volume-effects-associated-with-changes-in-the-com
3,Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,"Abras, A.",10 May 2022,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina
4,The rise and fall of institutional entrepreneurship in Islamic financial reporting standardisation projects,"Abras, A.",10 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/the-rise-and-fall-of-institutional-entrepreneurship-in-islamic-fi
5,Institutional entrepreneurship in Islamic financial reporting standardisation projects,"Abras, A.",9 Jan 2020,https://pureportal.coventry.ac.uk/en/publications/institutional-entrepreneurship-in-islamic-financial-reporting-sta
6,Competing institutional logics and institutional embeddedness of actors in Islamic financial reporting standardisation: A comparative study,"Abras, A.",2019,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-institutional-embeddedness-of-
7,Political ideology and NGO accountability: the case of the Syrian conflict,"Abras, A.",2019,https://pureportal.coventry.ac.uk/en/publications/political-ideology-and-ngo-accountability-the-case-of-the-syrian-
8,Competing Institutional Logics in Islamic Financial Reporting Standardisation: A Comparative Study ,"Abras, A.",2018,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-in-islamic-financial-reporting-sta
9,Understanding Islamic financial reporting standardisation projects: institutional logics perspective,"Abras, A.",2017,https://pureportal.coventry.ac.uk/en/publications/understanding-islamic-financial-reporting-standardisation-project
10,Islamic financial reporting standardisation projects: institutional logics perspective on the Malaysian case,"Abras, A.",2016,https://pureportal.coventry.ac.uk/en/publications/islamic-financial-reporting-standardisation-projects-institutiona
11,Corporate Political Strategies in Weak Institutional Environments: A Break from Conventions,"Aghanya, D.",Feb 2020,https://pureportal.coventry.ac.uk/en/publications/corporate-political-strategies-in-weak-institutional-environments
12,"Market in Financial Instruments Directive (MiFID), stock price informativeness and liquidity","Aghanya, D.",Apr 2020,https://pureportal.coventry.ac.uk/en/publications/market-in-financial-instruments-directive-mifid-stock-price-infor
13,The effect of government involvement and payment method on merger and acquisition performance: the case of China,"Aghanya, D.",2020,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-government-involvement-and-payment-method-on-merger
14,"The impact of regulations on compliance costs, risk-taking, and reporting quality of the EU banks","Aghanya, D.",1 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-regulations-on-compliance-costs-risk-taking-and-rep
15,Evaluation of merger premium and firm performance in Europe,"Aghanya, D.",2018,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-merger-premium-and-firm-performance-in-europe
16,Corporate hedging and the cost of equity capital,"Ahmed, H.",2022,https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital
17,Is corporate hedging always beneficial? A theoretical and empirical analysis,"Ahmed, H.",2020,https://pureportal.coventry.ac.uk/en/publications/is-corporate-hedging-always-beneficial-a-theoretical-and-empirica
18,Understanding Public Sentiment in Relation to the African Continental Free Trade Agreement,"Ajala, O.",1 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/understanding-public-sentiment-in-relation-to-the-african-contine
19,Do lockdown and testing help in curbing COVID-19 transmission?,"Ajala, O.",4 May 2020,https://pureportal.coventry.ac.uk/en/publications/do-lockdown-and-testing-help-in-curbing-covid-19-transmission
20,A shared boundary object: Financial innovation and engineering in Islamic financial institutions,"Alamad, S.",May 2021,https://pureportal.coventry.ac.uk/en/publications/a-shared-boundary-object-financial-innovation-and-engineering-in-
21,Case Studies of Shari’ah Governance in Practice: United Kingdom and Europe,"Alamad, S.",Apr 2020,https://pureportal.coventry.ac.uk/en/publications/case-studies-of-shariah-governance-in-practice-united-kingdom-and
